"","image2","unique_pair","image1","image_path","target_id","distractor_id","text1","text2","full_phrase_language","full_phrase","trial_type_id","dataset_id","vanilla_trial"
"49","glasses.jpg","88_96","dress.jpg","pomper_saffran_2016",88,96,"dress","glasses","eng","Where is the orange one",139,4,1
"50","chalk.jpg","89_97","pudding.jpg","pomper_saffran_2016",89,97,"pudding","chalk","eng","Look at the brown one",140,4,1
"51","shorts.jpg","130_138","bucket.jpg","pomper_saffran_2016",130,138,"bucket","shorts","eng","Look at the bucket",141,4,1
"52","purse.jpg","131_139","sock.jpg","pomper_saffran_2016",131,139,"sock","purse","eng","Look at the sock",142,4,1
"53","shovel.jpg","132_140","hose.jpg","pomper_saffran_2016",132,140,"hose","shovel","eng","Where's the hose",143,4,1
"54","lamp.jpg","133_141","glove.jpg","pomper_saffran_2016",133,141,"glove","lamp","eng","Find the glove",144,4,1
"55","can.jpg","134_142","donut.jpg","pomper_saffran_2016",134,142,"donut","can","eng","Find the donut",145,4,1
"56","comb.jpg","135_143","bib.jpg","pomper_saffran_2016",135,143,"bib","comb","eng","Find the bib",146,4,1
"57","muffin.jpg","136_144","necklace.jpg","pomper_saffran_2016",136,144,"necklace","muffin","eng","Look at the necklace",147,4,1
"58","plate.jpg","137_145","scissors.jpg","pomper_saffran_2016",137,145,"scissors","plate","eng","Where's the scissors",148,4,1
"59","crib.jpg","114_122","slide.jpg","pomper_saffran_2016",114,122,"slide","crib","eng","Where's the slide",149,4,1
"60","boot.jpg","115_123","knife.jpg","pomper_saffran_2016",115,123,"knife","boot","eng","Find the knife",150,4,1
"61","hammer.jpg","116_124","zipper.jpg","pomper_saffran_2016",116,124,"zipper","hammer","eng","Look at the zipper",151,4,1
"62","ladder.jpg","117_125","flag.jpg","pomper_saffran_2016",117,125,"flag","ladder","eng","Where's the flag",152,4,1
"63","slipper.jpg","118_126","belt.jpg","pomper_saffran_2016",118,126,"belt","slipper","eng","Look at the belt",153,4,1
"64","puzzle.jpg","119_127","tape.jpg","pomper_saffran_2016",119,127,"tape","puzzle","eng","Look at the tape",154,4,1
"65","glasses.jpg","120_128","dress.jpg","pomper_saffran_2016",120,128,"dress","glasses","eng","Where's the dress",155,4,1
"66","chalk.jpg","121_129","pudding.jpg","pomper_saffran_2016",121,129,"pudding","chalk","eng","Look at the pudding",156,4,1
"67","shorts.jpg","98_106","bucket.jpg","pomper_saffran_2016",98,106,"bucket","shorts","eng","Look at the green one",157,4,1
"68","purse.jpg","99_107","sock.jpg","pomper_saffran_2016",99,107,"sock","purse","eng","Look at the blue one",158,4,1
"69","shovel.jpg","100_108","hose.jpg","pomper_saffran_2016",100,108,"hose","shovel","eng","Where is the black one",159,4,1
"70","lamp.jpg","101_109","glove.jpg","pomper_saffran_2016",101,109,"glove","lamp","eng","Where is the brown one",160,4,1
"71","can.jpg","102_110","donut.jpg","pomper_saffran_2016",102,110,"donut","can","eng","Find the yellow one",161,4,1
"72","comb.jpg","103_111","bib.jpg","pomper_saffran_2016",103,111,"bib","comb","eng","Look at the green one",162,4,1
"73","muffin.jpg","104_112","necklace.jpg","pomper_saffran_2016",104,112,"necklace","muffin","eng","Find the white one",163,4,1
"74","plate.jpg","105_113","scissors.jpg","pomper_saffran_2016",105,113,"scissors","plate","eng","Where is the blue one",164,4,1
"75","left/car3.png","254_255","right/book3.png","adams_marchman_2018",254,255,"book","car","eng",NA,733,8,1
"76","left/birdy3.png","256_257","right/kitty3.png","adams_marchman_2018",256,257,"kitty","birdie","eng",NA,734,8,1
"77","left/shoe3.png","260_261","right/ball3.png","adams_marchman_2018",260,261,"ball","shoe","eng",NA,735,8,1
"78","left/doggie4.png","264_265","right/baby4.png","adams_marchman_2018",264,265,"baby","doggy","eng",NA,736,8,1
"79","left/kitty2.png","252_253","right/birdy2.png","adams_marchman_2018",253,252,"birdie","kitty","eng",NA,737,8,1
"80","left/baby2.png","244_245","right/doggie2.png","adams_marchman_2018",244,245,"doggy","baby","eng",NA,738,8,1
"81","left/book3.png","270_271","right/car3.png","adams_marchman_2018",270,271,"car","book","eng",NA,739,8,1
"82","left/ball3.png","274_275","right/shoe3.png","adams_marchman_2018",274,275,"shoe","ball","eng",NA,740,8,1
"83","left/birdy1.png","278_279","right/kitty1.png","adams_marchman_2018",278,279,"kitty","birdie","eng",NA,741,8,1
"84","left/book1.png","240_241","right/car1.png","adams_marchman_2018",240,241,"car","book","eng",NA,742,8,1
"85","left/shoe1.png","280_281","right/ball1.png","adams_marchman_2018",280,281,"ball","shoe","eng",NA,743,8,1
"86","left/car1.png","284_285","right/book1.png","adams_marchman_2018",284,285,"book","car","eng",NA,744,8,1
"87","left/ball2.png","246_247","right/shoe2.png","adams_marchman_2018",246,247,"shoe","ball","eng",NA,747,8,1
"88","left/kitty1.png","248_249","right/birdy1.png","adams_marchman_2018",248,249,"birdie","kitty","eng",NA,748,8,1
"89","left/doggie3.png","258_259","right/baby3.png","adams_marchman_2018",259,258,"baby","doggy","eng",NA,749,8,1
"90","left/birdy4.png","262_263","right/kitty4.png","adams_marchman_2018",263,262,"kitty","birdie","eng",NA,750,8,1
"91","left/car4.png","266_267","right/book4.png","adams_marchman_2018",267,266,"book","car","eng",NA,751,8,1
"92","left/shoe4.png","268_269","right/ball4.png","adams_marchman_2018",269,268,"ball","shoe","eng",NA,752,8,1
"93","left/baby1.png","238_239","right/doggie1.png","adams_marchman_2018",239,238,"doggy","baby","eng",NA,753,8,1
"94","left/book2.png","250_251","right/car2.png","adams_marchman_2018",251,250,"car","book","eng",NA,754,8,1
"95","left/kitty3.png","272_273","right/birdy3.png","adams_marchman_2018",273,272,"birdie","kitty","eng",NA,756,8,1
"96","left/baby3.png","276_277","right/doggie3.png","adams_marchman_2018",277,276,"doggy","baby","eng",NA,757,8,1
"97","left/doggie1.png","282_283","right/baby1.png","adams_marchman_2018",283,282,"baby","doggy","eng",NA,758,8,1
"98","left/ball1.png","242_243","right/shoe1.png","adams_marchman_2018",243,242,"shoe","ball","eng",NA,762,8,1
"99","book.png","437_438","dog.png","sander-montant_2022",437,438,"dog","book","eng",NA,1030,10,1
"100","door.png","439_440","mouth.png","sander-montant_2022",439,440,"mouth","door","eng",NA,1031,10,1
"101","foot.png","441_442","cookie.png","sander-montant_2022",441,442,"cookie","foot","eng",NA,1032,10,1
"102","foot.png","442_451","cookie.png","sander-montant_2022",451,442,"cookie","foot","fre",NA,1045,10,1
"103","book.png","438_452","dog.png","sander-montant_2022",452,438,"dog","book","fre",NA,1046,10,1
"104","door.png","440_458","mouth.png","sander-montant_2022",458,440,"mouth","door","fre",NA,1050,10,1
"105","cookie.png","441_447","foot.png","sander-montant_2022",447,441,"foot","cookie","fre",NA,1052,10,1
"106","mouth.png","439_450","door.png","sander-montant_2022",450,439,"door","mouth","fre",NA,1053,10,1
"107","dog.png","437_453","book.png","sander-montant_2022",453,437,"book","dog","fre",NA,1054,10,1
"108","cat.jpg","484_490","shoe.jpg","baumgartner_2014",484,490,"shoe","kitty","eng","shoe! Where's the shoe?",1068,11,1
"109","FribbleB.png","485_486","FribbleA.png","baumgartner_2014",485,486,"lif","neem","eng","lif! Where's the lif?",1069,11,0
"110","car.jpg","487_489","dog.jpg","baumgartner_2014",487,489,"dog","car","eng","dog! Can you find the dog?",1071,11,1
"111","dog.jpg","487_488","baby.jpg","baumgartner_2014",488,487,"baby","dog","eng","baby! Can you find the baby?",1073,11,1
"112","baby.jpg","488_490","cat.jpg","baumgartner_2014",490,488,"kitty","baby","eng","kitty! Can you find the kitty?",1076,11,1
"113","FribbleB.png","491_493","FribbleA.png","baumgartner_2014",491,493,"neem","lif","eng","neem! Can you find the neem?",1077,11,0
"114","dog.jpg","487_492","ball.jpg","baumgartner_2014",492,487,"ball","dog","eng","ball! Where's the ball?",1078,11,1
"115","shoe.jpg","484_489","car.jpg","baumgartner_2014",489,484,"car","shoe","eng","car! Can you find the car?",1082,11,1
